% Model:              1p44GHz_6mm_bore_mo4.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 23 2026, 03:02
% Dimension:          2
% Nodes:              400
% Expressions:        2
% Description:        Arrow surface
% r                       z                        Hrad                     Haxi
0.010850000000000002      0.004125000000000001     -0.014961518707972757    -0.35950837342724656
0.011550000000000001      0.004125000000000001     -0.01093959564498061     -0.3276018071016295
0.012250000000000002      0.004125000000000001     -0.007422282653151901    -0.3053697874120541
0.012950000000000003      0.004125000000000001     -0.004270123244440583    -0.2913954484969122
0.01365                   0.004125000000000001     -0.0013767761703777658   -0.28471016972415697
3.5000000000000005E-4     0.004875000000000002     0.028472824742506064     4.867895190971317
0.0010500000000000002     0.004875000000000002     0.08607537901443155      4.942256298196525
0.0017500000000000003     0.004875000000000002     0.145562875017485        5.092767520744901
0.0024500000000000004     0.004875000000000002     0.20324938470035592      4.6284593067245305
0.0031500000000000005     0.004875000000000002     0.24236375886036116      3.6163613173198637
0.003850000000000001      0.004875000000000002     0.26010776545189623      2.466695081499496
0.00455                   0.004875000000000002     0.256157880746943        1.2706184498264717
0.005250000000000001      0.004875000000000002     0.2320479370948832       0.11862572625198814
0.00595                   0.004875000000000002     0.19119994486882835      -0.9054182750578448
0.006650000000000001      0.004875000000000002     0.14527124144254738      -0.9315202447059326
0.007350000000000002      0.004875000000000002     0.10985493736569693      -0.7618930491559684
0.008050000000000002      0.004875000000000002     0.08293873586420375      -0.6324299080989679
0.00875                   0.004875000000000002     0.06251643192738106      -0.5335575410922175
0.009450000000000002      0.004875000000000002     0.046972231016414775     -0.4581028305266393
0.010150000000000001      0.004875000000000002     0.03502285960046007      -0.40077968563448296
0.010850000000000002      0.004875000000000002     0.025687481059974746     -0.3577435028480399
0.011550000000000001      0.004875000000000002     0.01822240447455285      -0.32622974448488146
0.012250000000000002      0.004875000000000002     0.01207749353634415      -0.30426218212228073
0.012950000000000003      0.004875000000000002     0.00683871253818721      -0.29044922981642446
0.01365                   0.004875000000000002     0.002187280557666698     -0.2838396434493328
3.5000000000000005E-4     0.0056250000000000015    0.06791773482210818      4.660463156866071
0.0010500000000000002     0.0056250000000000015    0.20550624973516488      4.7314814430880725
0.0017500000000000003     0.0056250000000000015    0.3480515618708969       4.8757108842092025
0.0024500000000000004     0.0056250000000000015    0.4867936905315848       4.432238319451318
0.0031500000000000005     0.0056250000000000015    0.5814410336782176       3.46536355753953
0.003850000000000001      0.0056250000000000015    0.625039076026504        2.3673057214752626
0.00455                   0.0056250000000000015    0.6165367720371726       1.2243892720388365
0.005250000000000001      0.0056250000000000015    0.5593611343526925       0.12217919404295992
0.00595                   0.0056250000000000015    0.4616187088257966       -0.8598028311712661
0.006650000000000001      0.0056250000000000015    0.35150176187722204      -0.8859279088790893
0.007350000000000002      0.0056250000000000015    0.2667790515777945       -0.7251604867823775
0.008050000000000002      0.0056250000000000015    0.20255871733205427      -0.6032762264700696
0.00875                   0.0056250000000000015    0.15384506247569932      -0.5105281018958626
0.009450000000000002      0.0056250000000000015    0.11662029344043681      -0.43978372980194486
0.010150000000000001      0.0056250000000000015    0.08776445280480112      -0.3859517299657317
0.010850000000000002      0.0056250000000000015    0.06493892505018586      -0.345430409758931
0.011550000000000001      0.0056250000000000015    0.046424403025257154     -0.3156729789961448
0.012250000000000002      0.0056250000000000015    0.030959337404943502     -0.29487711655621074
0.012950000000000003      0.0056250000000000015    0.01760519396272809      -0.28177563373923104
0.01365                   0.0056250000000000015    0.005643114813089919     -0.2754989859728889
3.5000000000000005E-4     0.006375000000000002     0.10454699405550127      4.289048576978213
0.0010500000000000002     0.006375000000000002     0.3169656639052729       4.353116582490177
0.0017500000000000003     0.006375000000000002     0.5384633442009391       4.484733992402333
0.0024500000000000004     0.006375000000000002     0.7552644289047166       4.077747647572814
0.0031500000000000005     0.006375000000000002     0.9039731866015116       3.1919558874740184
0.003850000000000001      0.006375000000000002     0.9729308858701887       2.187101122234094
0.00455                   0.006375000000000002     0.9599593244109127       1.1406749747419653
0.005250000000000001      0.006375000000000002     0.8700350033557124       0.12909797236111614
0.00595                   0.006375000000000002     0.71607772900884         -0.7765767175776325
0.006650000000000001      0.006375000000000002     0.5431443708640671       -0.8031031939751023
0.007350000000000002      0.006375000000000002     0.41088528103515837      -0.6590335476981071
0.008050000000000002      0.006375000000000002     0.31165412252199826      -0.5513072606836558
0.00875                   0.006375000000000002     0.2370240554066264       -0.46969997713684314
0.009450000000000002      0.006375000000000002     0.18020830313359665      -0.40729196185917743
0.010150000000000001      0.006375000000000002     0.13612225091769678      -0.35950919658893615
0.010850000000000002      0.006375000000000002     0.10109748420845178      -0.3232822100172044
0.011550000000000001      0.006375000000000002     0.07251459472757434      -0.296499571932388
0.012250000000000002      0.006375000000000002     0.0484861550063341       -0.27767951627639775
0.012950000000000003      0.006375000000000002     0.027622018760326297     -0.265775344459713
0.01365                   0.006375000000000002     0.00886205439350006      -0.2600585614722117
3.5000000000000005E-4     0.007125000000000003     0.13575144299317762      3.7706722631759906
0.0010500000000000002     0.007125000000000003     0.4134862742459178       3.8218539610777253
0.0017500000000000003     0.007125000000000003     0.7077605010293859       3.93138310711141
0.0024500000000000004     0.007125000000000003     0.9993989215297573       3.5733845364518717
0.0031500000000000005     0.007125000000000003     1.2009025340706123       2.802105231770382
0.003850000000000001      0.007125000000000003     1.2950722945075386       1.9301803962610955
0.00455                   0.007125000000000003     1.2784621832070733       1.0223882607057906
0.005250000000000001      0.007125000000000003     1.1564253482798794       0.14205647874023347
0.00595                   0.007125000000000003     0.9458442351099519       -0.6539205635394811
0.006650000000000001      0.007125000000000003     0.7105497186325197       -0.68253685329705
0.007350000000000002      0.007125000000000003     0.5335441971421242       -0.5649085781915318
0.008050000000000002      0.007125000000000003     0.40373609079294737      -0.478908145028962
0.00875                   0.007125000000000003     0.3075329771089046       -0.41349077378774746
0.009450000000000002      0.007125000000000003     0.2346508388113186       -0.36267390727907606
0.010150000000000001      0.007125000000000003     0.17799236974113414      -0.32306249672156856
0.010850000000000002      0.007125000000000003     0.13272797039614748      -0.292541435765976
0.011550000000000001      0.007125000000000003     0.09552982252111572      -0.2696797724123088
0.012250000000000002      0.007125000000000003     0.06404427924629232      -0.2534555790662448
